Internal Name, Readable Name,String
npc_dota_hero_antimage,Anti-Mage,"While <hc>Anti-Mage</hc> is often a monster late game, pressuring him in the early game can slow him down and pay dividends."
npc_dota_hero_antimage,Anti-Mage,<hc>Anti-Mage</hc> is strong against magic damage lineups as he takes less magic damage and drains mana upon attack.
npc_dota_hero_antimage,Anti-Mage,<hc>Anti-Mage</hc> can move between creeps quickly with his <ac>Blink</ac> ability and quickly collect gold.
npc_dota_hero_antimage,Anti-Mage,"<hc>Anti-Mage</hc> is vulnerable to heavy physical damage, pure damage, as well as disables like stuns, silences, and roots."
npc_dota_hero_axe,Axe,Using <ac>Culling Blade</ac> effectively is imperative for <hc>Axe</hc> as it instantly kills the opponent and provides a speed buff to allies.
npc_dota_hero_axe,Axe,<hc>Axe</hc> is effective at initiating as he can use his <ac>Berserker's Call</ac> ability to force enemies to attack him.
npc_dota_hero_axe,Axe,<hc>Axe</hc> relies heavily on a timely <ic>Blink Dagger</ic> to make good use of his skills and have a higher impact on teamfights.
npc_dota_hero_axe,Axe,<hc>Axe</hc> lanes well against melee heroes who are often in range of his <ac>Counter Helix</ac> and will take pure damage.
npc_dota_hero_bane,Bane,<hc>Bane</hc> is effective at disabling heroes for long durations using his <ac>Fiend's Grip</ac> and <ac>Nightmare</ac> abilities.
npc_dota_hero_bane,Bane,<hc>Bane</hc>'s <ac>Fiend's Grip</ac> has a long duration but can be interrupted by a stun or silence.
npc_dota_hero_bane,Bane,<hc>Bane</hc> is difficult to kill because his <ac>Brain Sap</ac> heals him for the same damage he receives.
npc_dota_hero_bane,Bane,"<hc>Bane</hc>'s spells all apply to a single target, making it more difficult for him to deal with creeps and summons."
npc_dota_hero_bloodseeker,Bloodseeker,Having an item like <ic>Black King Bar</ic> helps <hc>Bloodseeker</hc> to avoid getting disabled when pursuing low health targets.
npc_dota_hero_bloodseeker,Bloodseeker,<hc>Bloodseeker</hc> cannot stop his enemy from teleporting while <ac>Rupture</ac>d and replies on allies to prevent it.
npc_dota_hero_bloodseeker,Bloodseeker,"<hc>Bloodseeker</hc> can initiate fights with <ac>Rupture</ac>, preventing enemies from safely running away."
npc_dota_hero_bloodseeker,Bloodseeker,It's important to keep your health high as an enemy <hc>Bloodseeker</hc> could gain damage and move speed with his <ac>Thirst</ac> ability.
