Key,Readable,String
gen_deny,Denying,"Getting the final blow on your own creep, or <ac>Denying</ac>, prevents the enemy from getting gold and a small portion of experience."
gen_creeps,Creeps,<hc>Creeps</hc> are AI-controlled units that push the three <ac>lanes</ac> of the game. Heroes kill <hc>creeps</hc> to receive gold and experience.
gen_aegis,Aegis (items),<ic>Aegis of the Immortal</ic> is a rare item that drops when <hc>Roshan</hc> is killed. It allows the carrier to come back to life once after dying.
gen_cheese,Cheese (items),<ic>Cheese</ic> replenishes all of your health and mana immediately on-use. It drops after the second <hc>Roshan</hc> kill in a match.
gen_buyback,Buyback,"When a player dies, he may have the option to spend his gold to respawn earlier, or <ic>buyback</ic> into the game. If you <ic>buyback</ic>, your respawn timer will be signicantly longer after your next death."
gen_buyback,Buyback,Knowing the right time to use your <ic>buyback</ic> is a critical skill for players. It is often used to defend an important structure or to take advantage of the enemy teams mistakes.
gen_dieback,Dieback,"To <ic>dieback</ic> is when a user dies after buying-back into the game.  They died, revived and died immediately again."
gen_lasthitting,Last-hitting,"Players will try to get the killing blow, or <ac>last-hit</ac>, on creeps.  <ac>Last hitting</ac> gives gold and experience to the player."
gen_jungling,Jungling,"Players will often go into the <ic>jungle</ic>, the forested area between lanes, to kill neutral creeps for extra gold and experience.  This is called <ac>jungling</ac>."
gen_laning,Laning,The <ic>safe lane</ic> is the longest lane on each teams side of the map.  Creeps in these lanes will naturally be in a more defendable position for the <ic>safe lane</ic> team at the start of the game.
gen_laning,Laning,"The game has 3 <ic>lanes</ic>. <ic>Mid</ic>, or the middle lane, is in the center of the map running diagonally from bottom left to top right."
gen_laning,Laning,The <ic>offlane</ic> is the shortest lane on each teams side of the map and opposes the enemies <ic>safe lane</ic>.
gen_roshan,Roshan,"<hc>Roshan</hc> is a monstrous creature that lives in the river. When he dies, he drops the <ic>Aegis of the Immortal</ic> which allows the carrier to come back to life once after dying."
gen_creep_badguys_ranged,Ranged Creep,<hc>Ranged creeps</hc> do more damage than <hc>melee creeps</hc> and are worth more gold. There are always less <hc>ranged creeps</hc> than <hc>melee creeps</hc> in each wave.
gen_creep_badguys_melee,Melee Creep,"<hc>Melee creeps</hc> do less damage than <hc>ranged creeps</hc>. However, there are many more <hc>melee creeps</hc> in each wave than there are<hc> ranged creeps<h/c>."
gen_creep_badguys_ranged_upgraded,Upgraded Creep,"At the end of each lane, in each team's base, are <ic>barracks (racks)</ic>, one for melee and one for ranged creeps.  When the racks for a creep type is destroyed, that creep type gets stronger."
gen_creep_badguys_ranged_upgraded_mega,Mega Creep,"When all of an enemy team's <ic>barracks</ic> are destroyed, <hc>Mega Creeps</hc> (Megas) will spawn.  Megas are substantially stronger than their normal counterparts. "
,,
