Internal Name, Readable Name,String
npc_dota_hero_antimage,Anti-Mage,尽管<hc>敌法师</hc>到了后期时一般会变成怪物，但是前期压制住他可以延缓他的发力。
npc_dota_hero_antimage,Anti-Mage,<hc>敌法师</hc>在面对魔法输出为主的阵容时非常厉害，因为他自身所受的魔法伤害较低，而攻击时还能燃烧魔法。
npc_dota_hero_antimage,Anti-Mage,由于机动性很高，<hc>敌法师</hc>可以在兵线中快速穿梭，打钱效率很高。
npc_dota_hero_antimage,Anti-Mage,<hc>敌法师</hc>很惧怕物理伤害和纯粹伤害，还有眩晕、沉默和缠绕类控制技能。
npc_dota_hero_axe,Axe,成功使用<ac>淘汰之刃</ac>对<hc>斧王</hc>非常重要，因为能秒杀敌人并且队友都将获得速度加成。
npc_dota_hero_axe,Axe,<hc>斧王</hc>的先手能力非常突出，因为他的<ac>狂战士之吼</ac>可以强迫敌人攻击他。
npc_dota_hero_axe,Axe,<hc>斧王</hc>非常依赖<ic>闪烁匕首</ic>，方便自己施放技能时，也能更好地压制对面。
npc_dota_hero_axe,Axe,<hc>斧王</hc>与近战英雄对线时优势很大，因为<ac>反击螺旋</ac>可以轻松地对他们造成伤害。
npc_dota_hero_bane,Bane,<hc>祸乱之源</hc>善于长时间控制英雄。
npc_dota_hero_bane,Bane,<hc>祸乱之源</hc>的魔爪持续时间较长，但眩晕或沉默就能轻松打断。
npc_dota_hero_bane,Bane,<hc>祸乱之源</hc>的击杀难度较高，因为<ac>蚀脑</ac>造成伤害的同时还能回复等额生命。
npc_dota_hero_bane,Bane,<hc>祸乱之源</hc>只拥有单体类技能，所以他在清兵和消灭召唤物时非常吃力。
npc_dota_hero_bloodseeker,Bloodseeker,像<ic>黑皇杖</ic>这样的物品可以帮助<hc>嗜血狂魔</hc>追击残血目标时不受控制技能影响。
npc_dota_hero_bloodseeker,Bloodseeker,<hc>嗜血狂魔</hc>无法阻止敌人在<ac>割裂</ac>下传送，所以最好配合可以打断的队友。
npc_dota_hero_bloodseeker,Bloodseeker,<hc>嗜血狂魔</hc>可以利用<ac>割裂</ac>发起战斗的先手，阻止敌人逃走。
npc_dota_hero_bloodseeker,Bloodseeker,<hc>嗜血狂魔</hc>在对面时需要使自己的血量维持在健康状态，因为<ac>嗜血渴望</ac>会使他获得攻击力和移动速度加成。
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>水晶室女</hc>的<ac>奥术光环</ac>为地图上所有队友提供魔法恢复加成，使他们可以更频繁地施放技能。
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>水晶室女</hc>的<ac>冰封禁制</ac>非常克制机动性强的英雄，因为技能具有缠绕效果。
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>水晶室女</hc>依赖位移类物品来弥补她极低的移动速度和较低的血量。
npc_dota_hero_crystal_maiden,Crystal Maiden,<hc>水晶室女</hc>一般在队友急需魔法恢复时上场。
npc_dota_hero_drow_ranger,Drow Ranger,<hc>卓尔游侠</hc>的<ac>精准光环</ac>为所有远程队友提供额外攻击力，而开启后对远程小兵同样生效。
npc_dota_hero_drow_ranger,Drow Ranger,<hc>卓尔游侠</hc>唯一的保命技能就是具有沉默和击退效果的<ac>狂风</ac>。
npc_dota_hero_drow_ranger,Drow Ranger,<hc>卓尔游侠</hc>的远距离射程和高攻击力使她可以在相对安全的位置攻击防御塔。
npc_dota_hero_drow_ranger,Drow Ranger,<hc>卓尔游侠</hc>惧怕可以快速近身的英雄。
npc_dota_hero_earthshaker,Earthshaker,<hc>撼地者</hc>的眩晕技能很多，可以连续施放使敌人动弹不得。
npc_dota_hero_earthshaker,Earthshaker,<hc>撼地者</hc>的<ac>沟壑</ac>可以暂时创造障碍，封住敌人逃跑的路线，或者使己方可以从容撤退。
npc_dota_hero_earthshaker,Earthshaker,<hc>撼地者</hc>的<ac>沟壑</ac>在远距离对排成直线的敌人造成眩晕和伤害非常有用。
npc_dota_hero_earthshaker,Earthshaker,<hc>撼地者</hc>有了<ic>闪烁匕首</ic>后时机得当的<ac>回音击</ac>会使扎堆的敌人付出惨痛的代价。
npc_dota_hero_juggernaut,Juggernaut,<hc>主宰</hc>可以使用<ac>剑刃风暴</ac>造成伤害，同时自身不受技能影响。
npc_dota_hero_juggernaut,Juggernaut,<hc>主宰</hc>的上场价值在于他的<ac>治疗守卫</ac>，这可以帮助团队在推进时保持满血。
npc_dota_hero_juggernaut,Juggernaut,<hc>主宰</hc>的<ac>无敌斩</ac>最好用在落单或数量较少的英雄身上。
npc_dota_hero_juggernaut,Juggernaut,<hc>主宰</hc>可以使用<ac>剑刃风暴</ac>再使用<ic>回城卷轴</ic>，保证自己安全传送。
npc_dota_hero_mirana,Mirana,<hc>米拉娜</hc>的团战压制力很强，因为她具有高额爆发伤害，而且<ac>月之暗面</ac>技能可以使队友选择较为安全的时机发起战斗。
npc_dota_hero_mirana,Mirana,<ac>跳跃</ac>可以帮助<hc>米拉娜</hc>应对各种情况，不论是逃离险境还是爆发输出。
npc_dota_hero_mirana,Mirana,<hc>米拉娜</hc>的招牌技能<ac>月神之箭</ac>命中难度颇高，而神箭飞得越远，眩晕时间越长。
npc_dota_hero_mirana,Mirana,<hc>米拉娜</hc>的远距离技能<ac>月神之箭</ac>若能命中敌人，将造成长时间的眩晕。
