Internal Name,Item ID,String
item_blink,1,"<ic>Blink Dagger</ic> teleports a hero a short distance. It is used mostly to initiate on enemies, but can be used to escape danger if the hero hasn't recently taken damage."
item_blink,1,<ic>Blink Dagger</ic> often multiplies a heroes potential because it lets them instantly move close to enemies and use a powerful ability before they can react.
item_blink,1,<ic>Blink Dagger</ic> makes split pushing easier because the wielder can blink into a clump of trees and teleport when enemies come to stop them.
item_blink,1,"Using <ic>Blink Dagger</ic> allows the player to disjoint many projectiles, like ranged attacks or slow moving spells, when used."
item_blades_of_attack,2,<ic>Blades of Attack</ic> are a commonly used component that increase a hero's damage.
item_blades_of_attack,2,Two <ic>Blades of Attack</ic> combine with <ic>Boots of Speed</ic> to make <ic>Phase Boots</ic> which increase a hero's damage and give bursts of speed.
item_broadsword,3,"<ic>Broadsword</ic> increases a hero's damage and is always combined into another, stronger item."
item_broadsword,3,"<ic>Broadsword</ic> is built into items like Blademail, Battlefury, and <ic>Crystalys</ic>."
item_chainmail,4,<ic>Chainmail</ic> increases a hero's armor which reduces the damage taken from physical damage like attacks.
item_chainmail,4,"<ic>Chainmail</ic> is purchased for a variety of items like <ic>Buckler</ic>, <ic>Medallion of Courage</ic>, and <ic>Assault Cuirass</ic>."
item_claymore,5,<ic>Claymore</ic> increases the damage a hero deals with attacks.
item_claymore,5,<ic>Claymore</ic> builds into <ic>Shadow Blade</ic> and <ic>Battle Fury</ic>.
item_helm_of_iron_will,6,<ic>Helm of Iron Will</ic> increases armor and health regeneration which helps players survive enemy harassment.
item_helm_of_iron_will,6,<ic>Helm of Iron Will</ic> builds into Armlet and <ic>Veil of Discord</ic>.
item_javelin,7,<ic>Javelin</ic> increases damage by a small amount but also has a chance to deal heavy bonus damage.
item_javelin,7,<ic>Javelin</ic> is used in items that have a chance for bonus damage like <ic>Monkey King Bar</ic> and <ic>Skull Basher</ic>.
item_mithril_hammer,8,<ic>Mithril Hammer</ic> increases the damage a hero does with regular attacks.
item_mithril_hammer,8,"<ic>Mithril Hammer</ic> builds into a few items, but is most commonly used for <ic>Black King Bar</ic>, <ic>Desolator</ic>, and <ic>Maelstrom</ic>."
item_platemail,9,<ic>Platemail</ic> provides a large armor bonus to the hero which helps them survive against physical damage.
item_platemail,9,"<ic>Platemail</ic> builds into strong armor items like <ic>Shiva's Guard</ic>, <ic>Assault Cuirass</ic>, and <ic>Lotus Orb</ic>."
item_quarterstaff,10,<ic>Quarterstaff</ic> is a simple component that increases a hero's attack speed and damage by a small amount.
item_quarterstaff,10,"<ic>Quarterstaff</ic> builds into a variety of items but is most commonly used for <ic>Mask of Madness</ic>, <ic>Oblivion Staff</ic> and <ic>Butterfly</ic>."
item_quelling_blade,11,"<ic>Quelling Blade</ic> increases the damage a hero does when attacking regular creeps. It does not provide a bonus against heroes, and deals far more damage when wielded by a melee hero."
item_quelling_blade,11,<ic>Quelling Blade</ic> can be used to instantly chop down trees near a hero which can open up new pathways and help the hero hide or escape enemies.
item_quelling_blade,11,<ic>Quelling Blade</ic> can be used to chop down nearby <ic>Observer Wards</ic> and <ic>Sentry Wards</ic>.
item_faerie_fire,237,"<ic>Faerie Fire</ic> provides a damage bonus to a hero and can be consumed for a short burst of heal that might surprise the opponent, allowing the hero to escape or kill them first."
item_infused_raindrop,265,<ic>Infused Raindrop</ic> is used to provide the hero mana regen over time and block some magic damage done to the hero.
item_infused_raindrop,265,<ic>Infused Raindrop</ic> builds into an <ic>Urn of Shadows</ic> which provides the hero even greater mana regeneration.
item_infused_raindrop,265,<ic>Infused Raindrop</ic> should be used to enhance the hero's survival rate against magic burst heroes.
item_wind_lace,244,"<ic>Wind Lace</ic> increases a hero's movement speed while the hero hold it. Having better movement speed than a hero's opponent helps the hero escape, chase, or dodge enemy spells."
item_wind_lace,244,"<ic>Wind Lace</ic> builds into a few items that increase a hero's movement speed like <ic>Tranquil Boots</ic>, <ic>Drum of Endurance</ic>, or Eul's Scepter."
item_wind_lace,244,<ic>Wind Lace</ic> is commonly purchased in the early game and held until the hero runs out of item slots.
item_ring_of_protection,12,"<ic>Ring of Protection</ic> increases a hero's armor by a small amount and builds into a few inexpensive items like <ic>Ring of Basilius</ic>, <ic>Urn of Shadows</ic>, and <ic>Iron Talon</ic>."
item_stout_shield,182,<ic>Stout Shield</ic> blocks part of the damage from enemy attacks and works best against low damage enemies like creeps.
item_stout_shield,182,<ic>Stout Shield</ic> works better on melee heroes than on ranged ones.
item_stout_shield,182,<ic>Stout Shield</ic> is very important to have when fighting against creeps and neutral creeps.
item_moon_shard,247,<ic>Moon Shard</ic> greatly increases a hero's attack speed while increasing a hero's vision range during night time.
item_moon_shard,247,"<ic>Moon Shard</ic> can be consumed to give you half of its bonuses for the rest of the game, but should only be done when the hero is out of item slots and have no space for it otherwise."
